ID	age	gender	date	block	trial	stim_type	stim_step	intensity	resp1	resp1_t	resp1_btn	resp2	resp2_t	resp2_btn	stim_delay	mri_trigger	t_mri_stim_onset	onset_fix	onset_cue	onset_stim_p	onset_resp1	onset_resp1_p	onset_resp2	onset_ITI
01	27	w	2016/07/07	3	28	1	1.00	1.690000	0	567.5727	7	2	543.4675	6	0.8850	72119.669754	1999.708553	72119.768025	72120.754316	72121.740607	72130.734247	72131.319335	72132.222042	72132.790414
01	27	w	2016/07/07	3	29	1	1.00	1.690000	1	446.7026	6	3	363.8213	7	0.8850	72140.670362	1999.839311	72140.764328	72141.750619	72142.736910	72151.730550	72152.198620	72153.218345	72153.602831
01	27	w	2016/07/07	3	30	0	0.00	0.000000	0	471.6409	7	3	289.1501	7	0.8850	72161.670921	1999.970068	72161.760630	72162.746921	72163.733213	72172.726852	72173.228356	72174.214647	72174.532266
01	27	w	2016/07/07	3	31	2	1.00	1.980000	1	485.1409	6	4	441.3999	8	0.8850	72182.671530	2000.161176	72182.756932	72183.743224	72184.729515	72193.723154	72194.224658	72195.210953	72195.679024
01	27	w	2016/07/07	3	32	0	0.00	0.000000	0	1002.5098	7	4	952.7310	8	0.8850	72203.672100	2000.241642	72203.769953	72204.756243	72205.742535	72214.736174	72215.755897	72216.223969	72217.193544
01	27	w	2016/07/07	3	33	1	1.00	1.690000	1	515.5338	6	3	328.3607	7	0.8850	72224.672730	2000.372400	72224.766256	72225.752544	72226.738837	72235.732477	72236.267415	72237.220271	72237.571324
01	27	w	2016/07/07	3	34	1	1.00	1.690000	1	754.9751	6	2	612.6985	6	0.8850	72245.673313	2000.543391	72245.763153	72246.749437	72247.735762	72256.729368	72257.515057	72258.216580	72258.851813
01	27	w	2016/07/07	3	35	0	0.00	0.000000	0	551.2771	7	2	396.2549	6	0.8850	72266.673890	2000.633915	72266.758859	72267.745151	72268.731442	72277.725083	72278.293453	72279.212877	72279.630797
01	27	w	2016/07/07	3	36	1	1.00	1.690000	1	445.9730	6	3	435.5815	7	0.8850	72287.674511	1999.768903	72287.771880	72288.758169	72289.744462	72298.738102	72299.206175	72300.225896	72300.677248
01	27	w	2016/07/07	3	37	1	1.00	1.690000	1	433.1657	6	4	508.7337	8	0.8850	72308.675058	1999.909719	72308.768183	72309.754471	72310.740764	72319.734403	72320.185757	72321.222199	72321.757138
01	27	w	2016/07/07	3	38	1	1.00	1.690000	1	650.7267	6	4	406.2626	8	0.8850	72329.675671	2000.030418	72329.764485	72330.750775	72331.737067	72340.730706	72341.399376	72342.218501	72342.653139
01	27	w	2016/07/07	3	39	1	1.00	1.690000	1	552.0009	6	3	409.8441	7	0.8850	72350.676239	2000.171234	72350.760787	72351.747078	72352.733369	72361.727009	72362.295378	72363.214804	72363.649443
01	27	w	2016/07/07	3	40	0	0.00	0.000000	0	591.4896	7	2	333.7784	6	0.8850	72371.676799	2000.301992	72371.773807	72372.760096	72373.746389	72382.740030	72383.358561	72384.227825	72384.578877
02	36	m	2016/07/07	2	1	1	1.00	2.210000	1	600.7922	6	2	485.0500	7	0.8850	78163.160487	1998.380859	78163.260110	78164.246377	78165.232668	78174.226309	78174.860960	78175.713516	78176.215018
02	36	m	2016/07/07	2	2	0	0.00	0.000000	0	550.3195	7	0	1500.0000	0	0.8850	78184.161081	1998.521675	78184.255802	78185.242093	78186.228386	78195.222023	78195.790393	78196.709820	78198.231047
02	36	m	2016/07/07	2	3	1	1.00	2.210000	0	730.4820	7	0	1500.0000	0	0.8850	78205.161637	1998.602142	78205.252104	78206.238395	78207.224686	78216.218326	78216.970582	78217.706121	78219.227350
02	36	m	2016/07/07	2	4	1	1.00	2.210000	1	446.2773	6	1	622.1266	8	0.8850	78226.162253	1998.481442	78226.248407	78227.234697	78228.220987	78237.214628	78237.682699	78238.702423	78239.354392
02	36	m	2016/07/07	2	5	1	1.00	2.210000	1	710.7743	6	2	717.7748	7	0.8850	78247.162837	1998.350685	78247.261428	78248.247717	78249.234008	78258.228242	78258.963966	78259.716032	78260.451569
02	36	m	2016/07/07	2	6	1	1.00	2.210000	0	822.0400	7	0	1500.0000	0	0.8850	78268.163400	1998.290335	78268.258320	78269.244021	78270.230311	78279.223950	78280.076508	78280.711745	78282.232976
02	36	m	2016/07/07	2	7	1	1.00	2.210000	1	721.9194	6	3	657.9998	6	0.8850	78289.164024	1998.431151	78289.254031	78290.240322	78291.226614	78300.220253	78300.972509	78301.708048	78302.393437
02	36	m	2016/07/07	2	8	0	0.00	0.000000	0	730.1584	7	0	1500.0000	0	0.8850	78310.164594	1997.576197	78310.250334	78311.236624	78312.222914	78321.216555	78321.968812	78322.704351	78324.225580
02	36	m	2016/07/07	2	9	0	0.00	0.000000	0	473.2700	7	0	1500.0000	0	0.8850	78331.165179	1997.717013	78331.263355	78332.249644	78333.235935	78342.229574	78342.731080	78343.717370	78345.238599
